time,equity
2011-06-23,0.9999000099990001
2011-06-24,1.0000380526501809
2011-06-27,1.0001761143590406
2011-06-28,1.0003141951282108
2011-06-29,1.0004522949603223
2011-06-30,1.0005904138580073
2011-07-01,1.0007285518238975
2011-07-05,1.0008667088606258
2011-07-06,1.0010048849708248
2011-07-07,1.001143080157128
2011-07-08,1.0012812944221685
2011-07-11,1.0014195277685807
2011-07-12,1.0015577801989988
2011-07-13,1.0016960517160571
2011-07-14,1.0018343423223912
2011-07-15,1.0019726520206362
2011-07-18,1.0021109808134279
2011-07-19,1.0022493287034022
2011-07-20,1.002387695693196
2011-07-21,1.002526081785446
2011-07-22,1.0026644869827894
2011-07-25,1.0028029112878636
2011-07-26,1.0029413547033068
2011-07-27,1.003079817231757
2011-07-28,1.0032182988758533
2011-07-29,1.0033567996382344
2011-08-01,1.0034953195215401
2011-08-02,1.0036338585284097
2011-08-03,1.0037724166614836
2011-08-04,1.0039109939234023
2011-08-05,1.0040495903168065
2011-08-08,1.0041882058443374
2011-08-09,1.0043268405086367
2011-08-10,1.0044654943123466
2011-08-11,1.004604167258109
2011-08-12,1.0047428593485668
2011-08-15,1.0048815705863632
2011-08-16,1.005020300974141
2011-08-17,1.0051590505145447
2011-08-18,1.005297819210218
2011-08-19,1.0054366070638057
2011-08-22,1.0055754140779523
2011-08-23,1.0057142402553034
2011-08-24,1.0058530855985044
2011-08-25,1.0059919501102015
2011-08-26,1.0061308337930406
2011-08-29,1.006269736649669
2011-08-30,1.0064086586827332
2011-08-31,1.006547599894881
2011-09-01,1.00668656028876
2011-09-02,1.0068255398670183
2011-09-06,1.0069645386323047
2011-09-07,1.007103556587268
2011-09-08,1.0072425937345573
2011-09-09,1.0073816500768222
2011-09-12,1.0075207256167131
2011-09-13,1.00765982035688
2011-09-14,1.0077989342999738
2011-09-15,1.0079380674486453
2011-09-16,1.008077219805546
2011-09-19,1.0082163913733282
2011-09-20,1.0083555821546435
2011-09-21,1.008494792152145
2011-09-22,1.008634021368485
2011-09-23,1.0087732698063174
2011-09-26,1.0089125374682955
2011-09-27,1.0090518243570732
2011-09-28,1.009191130475305
2011-09-29,1.0093304558256457
2011-09-30,1.0094698004107507
2011-10-03,1.009609164233275
2011-10-04,1.0097485472958747
2011-10-05,1.009887949601206
2011-10-06,1.0100273711519254
2011-10-07,1.01016681195069
2011-10-10,1.010306272000157
2011-10-11,1.010445751302984
2011-10-12,1.0105852498618293
2011-10-13,1.0107247676793512
2011-10-14,1.0108643047582082
2011-10-17,1.0110038611010599
2011-10-18,1.0111434367105656
2011-10-19,1.011283031589385
2011-10-20,1.011422645740179
2011-10-21,1.0115622791656074
2011-10-24,1.0117019318683318
2011-10-25,1.0118416038510132
2011-10-26,1.0119812951163136
2011-10-27,1.0121210056668948
2011-10-28,1.0122607355054194
2011-10-31,1.0124004846345502
2011-11-01,1.0125402530569505
2011-11-02,1.0126800407752838
2011-11-03,1.012819847792214
2011-11-04,1.0129596741104054
2011-11-07,1.0130995197325228
2011-11-08,1.0132393846612309
2011-11-09,1.0133792688991954
2011-11-10,1.0135191724490817
2011-11-11,1.0136590953135565
2011-11-14,1.0137990374952859
2011-11-15,1.0139389989969367
2011-11-16,1.0140789798211767
2011-11-17,1.014218979970673
2011-11-18,1.0143589994480935
2011-11-21,1.0144990382561068
2011-11-22,1.0146390963973817
2011-11-23,1.014779173874587
2011-11-25,1.0149192706903924
2011-11-28,1.0150593868474678
2011-11-29,1.0151995223484829
2011-11-30,1.0153396771961087
2011-12-01,1.0154798513930159
2011-12-02,1.015620044941876
2011-12-05,1.0157602578453604
2011-12-06,1.0159004901061413
2011-12-07,1.0160407417268909
2011-12-08,1.0161810127102824
2011-12-09,1.0163213030589884
2011-12-12,1.0164616127756827
2011-12-13,1.0166019418630394
2011-12-14,1.0167422903237324
2011-12-15,1.0168826581604362
2011-12-16,1.0170230453758262
2011-12-19,1.0171634519725776
2011-12-20,1.0173038779533659
2011-12-21,1.0174443233208674
2011-12-22,1.0175847880777587
2011-12-23,1.017725272226716
2011-12-27,1.0178657757704175
2011-12-28,1.01800629871154
2011-12-29,1.0181468410527617
2011-12-30,1.0182874027967608
2012-01-03,1.018427983946216
2012-01-04,1.0185685845038066
2012-01-05,1.0187092044722117
2012-01-06,1.0188498438541111
2012-01-09,1.018990502652185
2012-01-10,1.0191311808691141
2012-01-11,1.0192718785075794
2012-01-12,1.0194125955702618
2012-01-13,1.019553332059843
2012-01-17,1.0196940879790053
2012-01-18,1.0198348633304306
2012-01-19,1.019975658116802
2012-01-20,1.020116472340803
2012-01-23,1.020257306005116
2012-01-24,1.0203981591124258
2012-01-25,1.0205390316654164
2012-01-26,1.0206799236667723
2012-01-27,1.0208208351191785
