params_json,pretax_cagr,aftertax_cagr,pretax_mdd,mdd_pass,is_aftertax_cagr,oos_aftertax_cagr,oos_retention,oos_pass,total_tax_paid_krw,rows,trial_id
"{""dist200_enter"": 100.8, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.40217028509035124,0.37281243238648565,-0.4031101306642578,True,0.4158416173798327,0.2844507843985504,0.6840363554538867,False,3660657108.2325387,3673,coarse_0014
"{""dist200_enter"": 100.8, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.39550972295383935,0.36633176905307074,-0.39907389087793976,True,0.4096510362577481,0.2773513086268158,0.6770428586254308,False,3411140530.259761,3673,coarse_0015
"{""dist200_enter"": 100.8, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.40188949116981454,0.37258040327573494,-0.40320021968358755,True,0.4159736571488748,0.2834479950946269,0.681408522446849,False,3645384562.0668826,3673,coarse_0016
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.4009301497720834,0.3715568435207641,-0.39893056653812176,True,0.4099571710949148,0.2930511286280624,0.7148335223540073,True,3618151483.9690533,3673,coarse_0017
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.4073646279299077,0.3778808570169345,-0.4031049406457873,True,0.4163518284851122,0.2992332325555158,0.7187028183454122,True,3865302091.165112,3673,coarse_0018
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.4005091758176964,0.37120868979889354,-0.3990685139132837,True,0.4101576940767375,0.2915287609796475,0.7107723814272874,True,3595562655.5713096,3673,coarse_0019
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.40707926612363443,0.37764447159171355,-0.40319502704016774,True,0.4164843698884124,0.29820693767677553,0.7160099135453111,True,3849043583.9540453,3673,coarse_0020
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.3971461836118457,0.3678631338859115,-0.39893056653812176,True,0.4099571710949148,0.28148097518340465,0.6866106877253164,False,3477173360.429657,3673,coarse_0021
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.4034001105507701,0.3740099897911151,-0.4031049406457873,True,0.4163518284851122,0.2871077427765829,0.6895796370613255,False,3708443862.327419,3673,coarse_0022
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.3967315088322203,0.36752103373678247,-0.3990685139132837,True,0.4101576940767375,0.279988189758019,0.6826354687512828,False,3455641669.432322,3673,coarse_0023
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.4031191306191477,0.37377781264398235,-0.40319502704016774,True,0.4164843698884124,0.28610208509918045,0.6869455513440638,False,3692975976.448964,3673,coarse_0024
"{""dist200_enter"": 101.2, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.39984721689293035,0.3704997006502462,-0.39893056653812176,True,0.40841126746686074,0.2930368418946683,0.7175043032289647,True,3577274950.2094173,3673,coarse_0025
"{""dist200_enter"": 101.2, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.40627582101981896,0.3768177300404214,-0.4031049406457873,True,0.41479700235468986,0.2992195165057483,0.7213637389064058,True,3821622930.369771,3673,coarse_0026
