params_json,pretax_cagr,aftertax_cagr,pretax_mdd,mdd_pass,is_aftertax_cagr,oos_aftertax_cagr,oos_retention,oos_pass,total_tax_paid_krw,rows,trial_id,family,candidate_id,turnover,aftertax_mdd,baseline_aftertax_cagr,baseline_pretax_mdd,delta_cagr,delta_mdd,strict_pass
"{""dist200_enter"": 100.8, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.3992840767254897,0.3700159298846452,-0.3990738908779397,True,0.4096510362577481,0.2888672014487916,0.7051543286394604,True,3549288912.1699195,3673,coarse_0011,phase2_core,coarse_0011,,,0.3859792803756308,-0.40467363761426745,-0.015963350490985573,0.0055997467363277376,False
"{""dist200_enter"": 100.8, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.405846147218071,0.3764434097534879,-0.4032002196835875,True,0.4159736571488748,0.2955269819008328,0.71044638722174,True,3799471376.835527,3673,coarse_0012,phase2_core,coarse_0012,,,0.3859792803756308,-0.40467363761426745,-0.009535870622142895,0.0014734179306799544,False
"{""dist200_enter"": 100.8, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.3959241235886921,0.3666736502399463,-0.3989359395495149,True,0.4094512679598063,0.2788398157712244,0.6810085536201017,False,3432400756.9657874,3673,coarse_0013,phase2_core,coarse_0013,,,0.3859792803756308,-0.40467363761426745,-0.01930563013568448,0.00573769806475255,False
"{""dist200_enter"": 100.8, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.4021702850903512,0.3728124323864856,-0.4031101306642578,True,0.4158416173798327,0.2844507843985504,0.6840363554538867,False,3660657108.232538,3673,coarse_0014,phase2_core,coarse_0014,,,0.3859792803756308,-0.40467363761426745,-0.013166847989145192,0.0015635069500096188,False
"{""dist200_enter"": 100.8, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.3955097229538393,0.3663317690530707,-0.3990738908779397,True,0.4096510362577481,0.2773513086268158,0.6770428586254308,False,3411140530.259761,3673,coarse_0015,phase2_core,coarse_0015,,,0.3859792803756308,-0.40467363761426745,-0.019647511322560096,0.0055997467363277376,False
"{""dist200_enter"": 100.8, ""dist200_exit"": 100.0, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.12, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.4018894911698145,0.3725804032757349,-0.4032002196835875,True,0.4159736571488748,0.2834479950946269,0.681408522446849,False,3645384562.0668826,3673,coarse_0016,phase2_core,coarse_0016,,,0.3859792803756308,-0.40467363761426745,-0.0133988770998959,0.0014734179306799544,False
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.4009301497720834,0.3715568435207641,-0.3989305665381217,True,0.4099571710949148,0.2930511286280624,0.7148335223540073,True,3618151483.969053,3673,coarse_0017,phase2_core,coarse_0017,,,0.3859792803756308,-0.40467363761426745,-0.01442243685486666,0.005743071076145745,False
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.09, ""vol_threshold"": 0.058}",0.4073646279299077,0.3778808570169345,-0.4031049406457873,True,0.4163518284851122,0.2992332325555158,0.7187028183454122,True,3865302091.165112,3673,coarse_0018,phase2_core,coarse_0018,,,0.3859792803756308,-0.40467363761426745,-0.00809842335869626,0.0015686969684801655,False
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.94, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.4005091758176964,0.3712086897988935,-0.3990685139132837,True,0.4101576940767375,0.2915287609796475,0.7107723814272874,True,3595562655.5713096,3673,coarse_0019,phase2_core,coarse_0019,,,0.3859792803756308,-0.40467363761426745,-0.014770590576737297,0.005605123700983761,False
"{""dist200_enter"": 101.2, ""dist200_exit"": 99.8, ""overheat1_enter"": 139.0, ""overheat2_enter"": 146.0, ""overheat3_enter"": 149.0, ""overheat4_enter"": 151.0, ""slope_thr"": 0.1, ""tp10_cap"": 0.96, ""tp10_trigger"": 0.11, ""vol_threshold"": 0.058}",0.4070792661236344,0.3776444715917135,-0.4031950270401677,True,0.4164843698884124,0.2982069376767755,0.7160099135453111,True,3849043583.954045,3673,coarse_0020,phase2_core,coarse_0020,,,0.3859792803756308,-0.40467363761426745,-0.008334808783917291,0.001478610574099759,False
