overlay_type,overlay_json,active_days,pretax_cagr,aftertax_cagr,pretax_mdd,aftertax_mdd,is_aftertax_cagr,oos_aftertax_cagr,oos_retention,oos_pass,turnover_units,total_tax_paid_krw,delta_aftertax_cagr_vs_orig,delta_pretax_mdd_vs_orig,delta_aftertax_mdd_vs_orig,delta_aftertax_cagr_vs_phase2,delta_pretax_mdd_vs_phase2
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 126.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",807,0.4194703586617552,0.38981366067119483,-0.39795237291118246,-0.5241945732145998,0.4312142385859985,0.3049117976178459,0.7071004858691287,True,104.15,4368992764.657353,0.003834380295564044,0.006721264703084984,0.01015137794308596,-0.00833252887621927,0.010825891854556402
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 126.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",807,0.42237781996787027,0.39262525975696194,-0.4017634457483399,-0.5292855588036949,0.4344605747894754,0.3067969225844709,0.7061559561143933,True,103.64999999999999,4505845508.120382,0.006645979381331157,0.0029101918659275583,0.005060392353990917,-0.005520929790452156,0.007014819017398977
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 126.0, ""exit_dist"": 120.0, ""min_risk_weight"": 0.95}",807,0.4252845684334401,0.39543513969652655,-0.40563551928576935,-0.5344240310161306,0.4377093961393772,0.3086720583572573,0.7051986114069361,True,103.15,4646779550.623206,0.009455859320895765,-0.0009618816715019074,-7.807985844476839e-05,-0.002711049850887548,0.003142745479969511
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 126.0, ""exit_dist"": 121.0, ""min_risk_weight"": 0.95}",782,0.4201125295285797,0.3904667283883134,-0.39620043367220603,-0.5217389278844236,0.4313517508890006,0.30666685470411403,0.710943804150753,True,104.91,4394779395.75641,0.004487448012682638,0.008473203942061414,0.012607023273262241,-0.007679461159100676,0.012577831093532832
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 126.0, ""exit_dist"": 121.0, ""min_risk_weight"": 0.95}",782,0.4228270232810265,0.393080688853245,-0.4005906569892357,-0.5276611207583692,0.4346010378820191,0.30792507554919957,0.708523562322444,True,104.16,4524580293.228739,0.007101408477614202,0.004082980625031762,0.006684830399316555,-0.005065500694169112,0.00818760777650318
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 126.0, ""exit_dist"": 121.0, ""min_risk_weight"": 0.95}",782,0.4255470610915213,0.3956989592536273,-0.4050936358590913,-0.5336903146695232,0.4378617914527665,0.3091740312686442,0.7060995896509863,True,103.41,4658349754.051755,0.009719678877996518,-0.0004199982448238604,0.0006556364881625809,-0.002447230293786795,0.003684628906647558
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 126.0, ""exit_dist"": 122.0, ""min_risk_weight"": 0.95}",739,0.4197565060325019,0.3899718572121815,-0.396202498676949,-0.5217301364654906,0.43099468523497797,0.30587722123198224,0.7097006801028607,True,105.47,4397389287.899398,0.003992576836550743,0.008471138937318434,0.012615814692195193,-0.00817433233523257,0.012575766088789853
soft_overheat_buffer,"{""cap_weight"": 0.925, ""enter_dist"": 126.0, ""exit_dist"": 122.0, ""min_risk_weight"": 0.95}",739,0.4225940231389482,0.3927581900163155,-0.4005937856063889,-0.5276588974283047,0.43436981211001946,0.3074076362005458,0.7077094853973968,True,104.52,4526147268.965501,0.006778909640684727,0.004079852007878526,0.006687053729381054,-0.005387999531098586,0.008184479159349944
soft_overheat_buffer,"{""cap_weight"": 0.95, ""enter_dist"": 126.0, ""exit_dist"": 122.0, ""min_risk_weight"": 0.95}",739,0.4254419045876132,0.39555391155208697,-0.4050958909987743,-0.5336909531552791,0.4377586260263746,0.30893966613267754,0.7057306190331111,True,103.57,4659005008.565189,0.009574631176456183,-0.00042225338450685435,0.0006549980024066482,-0.00259227799532713,0.003682373766964564
soft_overheat_buffer,"{""cap_weight"": 0.9, ""enter_dist"": 126.0, ""exit_dist"": 123.0, ""min_risk_weight"": 0.95}",703,0.4207127345195494,0.3908423537447874,-0.39232989150383646,-0.5161525454553573,0.43195702850340667,0.3065554394854657,0.7096896664642373,True,106.30999999999999,4449192371.626278,0.00486307336915659,0.012343746110430986,0.018193405702328524,-0.007303835802626724,0.016448373261902405
