scenario,pretax_cagr,aftertax_cagr,pretax_mdd,aftertax_mdd,ending_multiple,tax_paid_krw,parking_days
baseline_orig,0.4156743616862226,0.3859792803756308,-0.40467363761426745,-0.5343459511576858,116.45568841396202,4216176717.128256,
soft_overheat_buffer,0.4207127345195494,0.3908423537447874,-0.39232989150383646,-0.5161525454553573,122.5553727110268,4449192371.626278,
phase2_best,0.42808318969856374,0.3981461895474141,-0.40877826476573886,-0.5385868644063143,132.2777083480112,4785549601.181019,
phase2_best_plus_sweep_taxed,0.4329448795162929,0.4036795563413873,-0.40877826476573886,-0.5385868644063143,140.1164648898098,4916441153.547136,3305.0
