window,orig_aftertax_cagr,cand_aftertax_cagr,delta_aftertax_cagr,orig_pretax_mdd,cand_pretax_mdd,delta_pretax_mdd
2011-2014,0.2066804728045133,0.210062366446218,0.003381893641704714,-0.2729026603914918,-0.27310092028881294,-0.00019825989732114024
2015-2018,0.2730372279699327,0.2667321147435999,-0.006305113226332759,-0.374727718502165,-0.38401615459851857,-0.009288436096353547
2019-2022,0.5261726014513186,0.527312561386674,0.001139959935355428,-0.26178905146009857,-0.261674058003988,0.0001149934561105459
2023-2026,0.4935374374849817,0.5049900289372271,0.01145259145224542,-0.3134753464307306,-0.31504833050362135,-0.0015729840728907485
FULL,0.3859792803756308,0.3908423537447874,0.00486307336915659,-0.40467363761426745,-0.39232989150383646,0.012343746110430986
