scenario,aftertax_cagr,pretax_cagr,pretax_mdd,aftertax_mdd,ending_multiple,parking_days
baseline_orig,0.3859792803756308,0.4156743616862226,-0.40467363761426745,-0.5343459511576858,116.45568841396202,
baseline_plus_sweep,0.5078780467031474,0.5078780467031474,-0.37472771850216513,-0.37472771850216513,397.88577472571876,3306.0
phase2_best,0.3981461895474141,0.42808318969856374,-0.40877826476573886,-0.5385868644063143,132.2777083480112,
phase2_best_plus_sweep,0.5221879525937789,0.5221879525937789,-0.3840161545985191,-0.3840161545985191,456.61228788532037,3305.0
overlay_only,0.3908423537447874,0.4207127345195494,-0.39232989150383646,-0.5161525454553573,122.5553727110268,
overlay_plus_sweep,0.5156518344660981,0.5156518344660981,-0.384016154598519,-0.384016154598519,428.85318791076577,3332.0
