window,baseline_aftertax_cagr,candidate_aftertax_cagr,delta_aftertax_cagr,baseline_pretax_mdd,candidate_pretax_mdd,delta_pretax_mdd,baseline_oos_retention,candidate_oos_retention,baseline_oos_pass,candidate_oos_pass,rows
2011-2014,0.2066804728045133,0.2066804728045133,0.0,-0.2729026603914918,-0.2729026603914918,0.0,0.5652023287221014,0.5652023287221014,False,False,887
2015-2018,0.28589974331256096,0.2835016205695444,-0.0023981227430165397,-0.3747277185021656,-0.37940128769869064,-0.0046735691965250625,1.1302790413833215,1.1446575829585377,True,True,1006
2019-2022,0.537381539400142,0.5414884233583896,0.0041068839582476535,-0.2618029122761941,-0.26180786912096476,-4.956844770642732e-06,-0.1827774640654841,-0.18147988949137986,False,False,1008
2023-2026,0.40870525154928505,0.40870525154928505,0.0,-0.31256725987026757,-0.31256725987026757,0.0,1.0829366735060335,1.0829366735060335,True,True,772
FULL,0.3859792803756308,0.386337116394718,0.00035783601908723206,-0.40467363761426745,-0.40466871594150233,4.9216727651124614e-06,0.6813725785644408,0.6806102172727796,False,False,3673
