one_way_bps,baseline_aftertax_cagr,candidate_aftertax_cagr,delta_aftertax_cagr,baseline_pretax_mdd,candidate_pretax_mdd,delta_pretax_mdd
3,0.38778481706009105,0.38811419733315766,0.0003293802730666151,-0.40408770035073727,-0.40408281625224696,4.884098490309796e-06
5,0.3859792803756308,0.386337116394718,0.00035783601908723206,-0.40467363761426745,-0.40466871594150233,4.9216727651124614e-06
7,0.3841765399287831,0.3845627341366813,0.000386194207898205,-0.4052586769479546,-0.4052537174163825,4.959531572090725e-06
10,0.38147763607051033,0.38190618496252204,0.0004285488920117153,-0.406134553516193,-0.40612953665671814,5.016859474848978e-06
15,0.3769933190562904,0.37749197338630225,0.0004986543300118385,-0.40758986652486484,-0.40758475266148586,5.113863378980454e-06
