time,QQQ종가,TQQQ종가,SPY종가,QQQ3일선,QQQ161일선,TQQQ200일선,SPY200일선,TQQQ200일 이격도
2010-02-11,43.66999816894531,0.21627600491046906,108.12999725341797,,,,,
2010-02-12,43.7599983215332,0.21716099977493286,108.04000091552734,,,,,
2010-02-16,44.31999969482422,0.22557300329208374,109.73999786376953,43.916665395100914,,,,
2010-02-17,44.56999969482422,0.22940100729465485,110.26000213623047,44.21666590372721,,,,
2010-02-18,44.849998474121094,0.23375000059604645,110.91000366210938,44.57999928792318,,,,
2010-02-19,44.83000183105469,0.23375000059604645,111.13999938964844,44.75,,,,
2010-02-22,44.7400016784668,0.23210899531841278,111.16000366210938,44.80666732788086,,,,
2010-02-23,44.15999984741211,0.22304700314998627,109.80999755859375,44.57666778564453,,,,
2010-02-24,44.61000061035156,0.22979199886322021,110.81999969482422,44.503334045410156,,,,
2010-02-25,44.599998474121094,0.2296610027551651,110.66999816894531,44.45666631062826,,,,
2010-02-26,44.7599983215332,0.2325260043144226,110.73999786376953,44.65666580200195,,,,
2010-03-01,45.40999984741211,0.24250000715255737,111.88999938964844,44.92333221435547,,,,
2010-03-02,45.54999923706055,0.2439579963684082,112.19999694824219,45.23999913533529,,,,
2010-03-03,45.599998474121094,0.24531300365924835,112.30000305175781,45.519999186197914,,,,
2010-03-04,45.75,0.24802100658416748,112.63999938964844,45.63333257039388,,,,
2010-03-05,46.439998626708984,0.2589839994907379,114.25,45.929999033610024,,,,
2010-03-08,46.529998779296875,0.26036500930786133,114.2699966430664,46.23999913533529,,,,
2010-03-09,46.790000915527344,0.2649739980697632,114.45999908447266,46.586666107177734,,,,
2010-03-10,47.16999816894531,0.2714579999446869,114.97000122070312,46.82999928792318,,,,
2010-03-11,47.349998474121094,0.2739579975605011,115.44999694824219,47.10333251953125,,,,
2010-03-12,47.36000061035156,0.27458301186561584,115.45999908447266,47.29333241780599,,,,
2010-03-15,47.2400016784668,0.27273398637771606,115.48999786376953,47.31666692097982,,,,
2010-03-16,47.540000915527344,0.27789101004600525,116.41000366210938,47.380001068115234,,,,
2010-03-17,47.66999816894531,0.27981799840927124,117.0999984741211,47.483333587646484,,,,
2010-03-18,47.83000183105469,0.2826560139656067,117.04000091552734,47.68000030517578,,,,
2010-03-19,47.4900016784668,0.2776559889316559,115.97000122070312,47.663333892822266,,,,
2010-03-22,47.91999816894531,0.2851560115814209,116.58999633789062,47.7466672261556,,,,
2010-03-23,48.25,0.2911199927330017,117.41000366210938,47.88666661580404,,,,
2010-03-24,48.02000045776367,0.28697898983955383,116.83999633789062,48.063332875569664,,,,
2010-03-25,47.95000076293945,0.28518199920654297,116.6500015258789,48.073333740234375,,,,
2010-03-26,48.0,0.28666698932647705,116.58000183105469,47.99000040690104,,,,
2010-03-29,48.22999954223633,0.29059898853302,117.31999969482422,48.06000010172526,,,,
2010-03-30,48.38999938964844,0.2936460077762604,117.4000015258789,48.20666631062826,,,,
2010-03-31,48.15999984741211,0.28968799114227295,117.0,48.25999959309896,,,,
2010-04-01,48.15999984741211,0.2891150116920471,117.80000305175781,48.23666636149088,,,,
2010-04-05,48.61000061035156,0.2974739968776703,118.76000213623047,48.31000010172526,,,,
2010-04-06,48.75,0.2997399866580963,119.04000091552734,48.506666819254555,,,,
2010-04-07,48.630001068115234,0.2980470061302185,118.36000061035156,48.663333892822266,,,,
2010-04-08,48.7400016784668,0.29911500215530396,118.7699966430664,48.70666758219401,,,,
2010-04-09,49.029998779296875,0.30450499057769775,119.55000305175781,48.800000508626304,,,,
2010-04-12,49.06999969482422,0.3057290017604828,119.73999786376953,48.9466667175293,,,,
2010-04-13,49.31999969482422,0.3103390038013458,119.83000183105469,49.13999938964844,,,,
2010-04-14,49.90999984741211,0.3212760090827942,121.19000244140625,49.43333307902018,,,,
2010-04-15,50.130001068115234,0.32557299733161926,121.29000091552734,49.78666687011719,,,,
2010-04-16,49.529998779296875,0.3139840066432953,119.36000061035156,49.856666564941406,,,,
2010-04-19,49.5,0.31349000334739685,119.80999755859375,49.71999994913737,,,,
