time,QQQ종가,TQQQ종가,SPY종가,QQQ3일선,QQQ161일선,TQQQ200일선,SPY200일선,TQQQ200일 이격도
2000-01-03,94.75,80.3199621018047,145.4375,,,,,
2000-01-04,88.25,63.78973243441483,139.75,,,,,
2000-01-05,86.0,58.91063108674004,140.0,89.66666666666667,,,,
2000-01-06,80.09375,46.77315731269149,137.75,84.78125,,,,
2000-01-07,90.0,64.12831634678028,145.75,85.36458333333333,,,,
2000-01-10,92.5,69.47234270901195,146.25,87.53125,,,,
2000-01-11,88.0,59.33313593526428,144.5,90.16666666666667,,,,
2000-01-12,86.0625,55.414114882721975,143.0625,88.85416666666667,,,,
2000-01-13,91.25,65.43453217088303,145.0,88.4375,,,,
2000-01-14,93.375,70.00598578830088,146.96875,90.22916666666667,,,,
2000-01-18,93.875,71.13057993751055,145.8125,92.83333333333333,,,,
2000-01-19,96.0,75.9610187881271,147.0,94.41666666666667,,,,
2000-01-20,95.0625,73.73559831581869,144.75,94.97916666666667,,,,
2000-01-21,96.25,76.49886531384739,144.4375,95.77083333333333,,,,
2000-01-24,91.625,65.4711068075655,140.34375,94.3125,,,,
2000-01-25,93.0,68.41864640463189,141.9375,93.625,,,,
2000-01-26,89.25,60.142197242781265,140.8125,91.29166666666667,,,,
2000-01-27,90.5625,62.795529474080425,140.25,90.9375,,,,
2000-01-28,86.0,53.30469375646578,135.875,88.60416666666667,,,,
2000-01-31,89.6875,60.16147485740651,139.5625,88.75,,,,
2000-02-01,92.09375,65.00373990690508,140.9375,89.26041666666667,,,,
2000-02-02,92.875,66.65805972129868,141.0625,91.55208333333333,,,,
2000-02-03,96.5,74.46324302648442,143.1875,93.82291666666667,,,,
2000-02-04,97.15625,75.98240893019832,142.59375,95.51041666666667,,,,
2000-02-07,98.5,79.13510457252563,142.375,97.38541666666667,,,,
2000-02-08,102.625,89.07720527389623,144.3125,99.42708333333333,,,,
2000-02-09,99.0,79.63784247386094,141.28125,100.04166666666667,,,,
2000-02-10,102.25,87.48096332355938,141.5625,101.29166666666667,,,,
2000-02-11,99.875,81.38510157607419,138.6875,100.375,,,,
2000-02-14,99.75,81.07952547503761,139.5,100.625,,,,
2000-02-15,100.46875,82.83218439038146,141.078125,100.03125,,,,
2000-02-16,100.0,81.67279145179137,139.0,100.07291666666667,,,,
2000-02-17,102.125,86.87943190684307,138.28125,100.86458333333333,,,,
2000-02-18,98.4375,77.46837961338454,135.3125,100.1875,,,,
2000-02-22,98.75,78.20617370494058,134.96875,99.77083333333333,,,,
2000-02-23,104.25,91.27353437462688,136.5625,100.47916666666667,,,,
2000-02-24,106.5,97.18333156435094,133.8125,103.16666666666667,,,,
2000-02-25,104.0625,90.51053239003811,133.328125,104.9375,,,,
2000-02-28,104.0,90.34745034969569,136.125,104.85416666666667,,,,
2000-02-29,106.75,97.51443559378212,137.4375,104.9375,,,,
2000-03-01,107.625,99.91233155100625,138.4375,106.125,,,,
2000-03-02,105.1328125,92.97155764752823,138.53125,106.50260416666667,,,,
2000-03-03,111.0625,108.70286750584891,141.125,107.94010416666667,,,,
2000-03-06,111.9375,111.27209678848575,139.75,109.37760416666667,,,,
2000-03-07,110.25,106.23969040106684,137.046875,111.08333333333333,,,,
2000-03-08,111.25,109.13056633034755,136.875,111.14583333333333,,,,
2000-03-09,115.0,120.16624157723666,140.875,112.16666666666667,,,,
2000-03-10,114.5,118.59885581753359,140.125,113.58333333333333,,,,
2000-03-13,111.5,109.27667501091524,138.59375,113.66666666666667,,,,
2000-03-14,107.375,97.14843417450199,136.625,111.125,,,,
2000-03-15,102.875,84.93419565198019,139.8125,107.25,,,,
2000-03-16,108.75,99.4854977017119,146.34375,106.33333333333333,,,,
2000-03-17,110.8125,105.145879467499,146.9375,107.47916666666667,,,,
2000-03-20,107.6875,96.25028898801517,146.1875,109.08333333333333,,,,
2000-03-21,111.75,107.14338611666457,149.1875,110.08333333333333,,,,
