time,prev_weight,S2_weight,S2_code,TQQQ종가,TQQQ200일 이격도,vol20,spy_dist200,rsi14
2012-04-09,0.0,0.9,3,0.6128129959106445,145.29352753737425,0.022748862208648662,108.68907162383286,57.43076505413172
2012-04-16,0.9,0.0,0,0.5654690265655518,132.55832200448475,0.026785368482549685,107.58926492922282,42.8082072460672
2012-04-17,0.0,0.9,3,0.5988019704818726,140.09229256075994,0.029675416667041973,109.1524259006804,52.37939603271607
2012-04-23,0.9,0.0,0,0.5546879768371582,129.08732492097994,0.030935876003415203,107.29619937255133,41.49452983020089
2012-04-25,0.0,1.0,2,0.5881770253181458,136.54667750451,0.03411053413167651,109.13537512409792,51.77567418759142
2012-04-27,1.0,0.9,3,0.6089580059051514,140.83742661693682,0.03460125060242697,110.00161351399535,56.32973882841602
2012-05-04,0.9,0.0,0,0.5419790148735046,124.36340220776223,0.03682343231073668,107.18344191576641,39.935296629437616
2012-06-06,0.0,1.0,2,0.4835419952869415,108.04312549098762,0.038108166943317874,102.42468010745,46.80407959904949
2012-07-03,1.0,0.95,950,0.5375000238418579,116.18454638611506,0.04171894839332688,105.47857865321227,59.45102439173283
2012-10-23,0.95,0.0,0,0.5432289838790894,98.89448347474634,0.029158812974385537,102.68601262249402,33.48595066893333
2012-11-29,0.0,0.1,1,0.5518749952316284,99.00614360112117,0.033820623740016396,102.49845023655149,57.89586982100381
2012-12-05,0.1,0.0,0,0.5268750190734863,94.41926060944266,0.03164614658520692,101.96254471032056,48.583218270340375
2012-12-12,0.0,0.1,1,0.5488539934158325,98.28697879308558,0.025666611959492474,103.29706628172836,55.92475653973292
2012-12-14,0.1,0.0,0,0.5212500095367432,93.36787037513334,0.025703078934578755,102.24482125954171,45.918052098899636
2012-12-18,0.0,1.0,2,0.5666670203208923,101.4992194789885,0.023929963461187427,104.54463530529448,59.592910403481085
2012-12-21,1.0,0.1,1,0.5415629744529724,96.9366637219652,0.023719517307296913,102.59692835098986,48.44828798696801
2012-12-26,0.1,0.0,0,0.5242710113525391,93.874976667254,0.024146521335554377,101.81496388888212,43.47661757116907
2013-01-02,0.0,1.0,2,0.5895829796791077,105.73423963987224,0.03515462133144471,104.86630908651426,61.49591324156819
2013-04-10,1.0,0.95,950,0.6630210280418396,115.23023288427504,0.02158075905008325,109.73863709186222,63.66670068171782
2013-10-18,0.95,0.9,3,1.0526039600372314,143.37009699976423,0.028707101769986476,108.31007609150873,69.61370716516872
2013-11-29,0.9,0.8,4,1.1876039505004885,147.19263441931338,0.021361886654063217,109.60835318052762,72.60787435938708
2013-12-13,0.8,0.9,3,1.152292013168335,137.7172722690465,0.016502286452507967,106.9407949402996,55.12364937444004
2013-12-23,0.9,0.8,4,1.2697919607162476,148.6423317116401,0.01751927871268989,109.07990183559664,70.55827101456555
2013-12-26,0.8,0.05,5,1.2839579582214355,149.1587600594591,0.017410199508762717,109.6937517467196,72.22479307783033
2014-01-06,0.05,0.8,4,1.221979022026062,138.8685533791193,0.019501923447070347,108.25520160736599,53.00099580621406
2014-01-13,0.8,0.9,3,1.206354022026062,134.72158453547814,0.020632919873826646,107.42106536050424,47.82490607918503
2014-01-27,0.9,1.0,2,1.1962499618530271,129.3462287771876,0.026693677232441055,104.52039715846699,43.02406568829815
2014-02-03,1.0,0.0,0,1.130416989326477,120.4094946013829,0.032574451518436374,101.94420874838117,38.05893690762158
2014-02-06,0.0,1.0,2,1.1856249570846558,125.2206347163436,0.033579340400524425,103.70371875505688,47.31164237882877
2014-02-11,1.0,0.95,950,1.315000057220459,137.51041626113883,0.034959835046052753,106.12529602867798,60.93567190826669
2014-02-13,0.95,0.9,3,1.3552080392837524,140.73418729665417,0.032805521569130955,106.58269130855902,64.09901177472895
2014-03-13,0.9,0.95,950,1.3485419750213623,131.71692377721567,0.018945629156876715,106.56516544893975,48.38154273599649
2014-10-15,0.95,0.0,0,1.4604170322418213,99.25321870777714,0.03567738014713791,97.79556979371475,29.80522526723341
2014-10-21,0.0,1.0,2,1.6802079677581787,113.74323589327688,0.042814673583744044,101.73324862460245,52.326424020556495
2014-10-28,1.0,0.95,950,1.855625033378601,124.54333831518868,0.04206083731278415,103.83916200468913,62.74906244538553
2014-11-28,0.95,0.9,3,2.1954169273376465,139.6123274531242,0.012694273508884697,106.98196587019255,77.58452843310933
2014-12-08,0.9,0.95,950,2.1050000190734863,131.930550851957,0.014979028383637204,106.29636614332144,60.88579737151639
2015-08-20,0.95,0.1,1,2.187083005905152,98.40980192991628,0.028338029741668762,98.1231670167738,34.938535632141296
2015-08-21,0.1,0.0,0,1.9149999618530276,86.16814559778079,0.0384916470876969,95.17683543407259,24.726925585586685
2015-10-23,0.0,1.0,2,2.4558329582214355,110.96231511137982,0.03854879019113197,100.6979091961173,70.79239705177679
2015-11-13,1.0,0.0,0,2.2635419368743896,100.35724383426874,0.031370806757076,98.08018373291989,43.952840953109494
2015-11-16,0.0,1.0,2,2.357917070388794,104.44444354208258,0.03241856657199627,99.5627580748499,51.10602206555153
2015-12-01,1.0,0.95,950,2.600416898727417,114.0776605651732,0.02515629781508915,101.96105766815413,63.9583181137055
2015-12-18,0.95,0.0,0,2.2654170989990234,99.0128050501786,0.0350826802011459,96.95770089323273,40.49015124366098
2015-12-29,0.0,1.0,2,2.536250114440918,110.48154926586264,0.03775465803149251,100.55913291259526,56.245481487741074
2015-12-31,1.0,0.0,0,2.3797919750213623,103.58560978407284,0.03822123977317932,98.86825265018645,47.15648385497
2016-03-18,0.0,1.0,2,2.032500028610229,93.59705572008409,0.032094684658839016,101.22682926138312,62.62068710912502
2016-03-28,1.0,0.0,0,2.0177080631256104,93.21946198756731,0.027970674598865493,100.73449624647839,58.81017600380305
2016-03-29,0.0,1.0,2,2.1141669750213623,97.73335778914117,0.028394533952928576,101.68270471777996,65.74597096653318
2016-03-30,1.0,0.1,1,2.1458330154418945,99.23448277975014,0.019988153568302566,102.13896116580247,67.55870974732338
2016-03-31,0.1,1.0,2,2.1333329677581787,98.68907593684992,0.020126600576734353,101.90014333260746,66.41599977929297
2016-04-12,1.0,0.1,1,2.1454169750213623,99.70563197770662,0.023471578070780843,102.21642574529885,58.89020804454027
2016-04-13,0.1,1.0,2,2.229166984558105,103.6287641198318,0.024674268323070906,103.2535799399373,63.895846227681254
2016-04-26,1.0,0.0,0,2.0827078819274902,96.89985158862676,0.02450038049650852,103.6516972945645,47.17089781910346
2016-05-25,0.0,1.0,2,2.114375114440918,101.01322273697086,0.0281171656643943,104.03764746942447,60.45267320805673
2016-06-13,1.0,0.1,1,2.041249990463257,97.61457886875472,0.02402120366031893,103.39555936317275,45.92239267818244
2016-06-15,0.1,0.0,0,2.0239579677581787,96.7974938343158,0.0207048503919597,103.00430470350112,44.06769976182432
2016-07-05,0.0,0.1,1,1.998124957084656,95.61864683545288,0.04104283655316679,102.9781714033257,50.3558913995106
2016-07-08,0.1,1.0,2,2.1600000858306885,103.308505737767,0.04288666014296653,104.95387951273048,59.58476980779369
2016-07-27,1.0,0.95,950,2.416249990463257,114.2270696884971,0.018823832556372943,106.14128941203185,69.97221765188104
2017-03-01,0.95,0.9,3,3.5916669368743896,139.0525089650277,0.010004095437980429,109.82445111419491,79.92273861497077
2017-03-21,0.9,0.95,950,3.4733328819274902,129.183712391899,0.014792828009645938,106.05107573655286,48.84120990098461
2017-05-01,0.95,0.9,3,4.072082996368408,139.64135424959863,0.014615072344775309,106.53387849069027,79.18625062589621
2017-05-17,0.9,0.95,950,3.965832948684693,131.21342888079715,0.022108221176541456,104.62814131096924,50.91856162382431
2017-05-24,0.95,0.9,3,4.290832996368408,140.01410879747297,0.021158311686115913,106.49138986813527,67.0767914214299
2017-06-02,0.9,0.8,4,4.632082939147949,148.4073648045189,0.02180909779399463,107.72382441455777,78.15422037923787
2017-06-09,0.8,0.9,3,4.302917003631592,135.72782478413598,0.028191350809548002,107.09374678145667,50.84599635204624
2017-06-15,0.9,0.95,950,4.208333015441895,131.33392747400313,0.023160363620661657,107.00562863941343,46.95721412187625
2018-01-11,0.95,0.9,3,6.642083168029785,139.34744737642876,0.018643087721170765,110.66350417787585,74.88516008385105
2018-01-22,0.9,0.8,4,7.235000133514404,148.72308610470947,0.018322822581398245,112.70135906921766,82.32437515155262
2018-01-23,0.8,0.0,0,7.418333053588867,151.90257328071405,0.018483787043055828,112.83294295921343,84.31566931647832
2018-02-08,0.0,1.0,2,5.417082786560059,106.72328605728414,0.049355519413038805,101.60678760185912,32.577864569873114
2018-02-12,1.0,0.95,950,5.989583015441895,117.5586822306528,0.052100245980999445,104.54478504797426,44.02795385856358
2018-02-26,0.95,0.9,3,7.3308329582214355,140.64588952463,0.055524062527813625,108.86134673488945,63.17847273143987
2018-03-01,0.9,0.95,950,6.592916965484619,125.52746610276591,0.05678592333500948,104.67071535605359,50.06958235365322
2018-03-09,0.95,0.9,3,7.655416965484619,143.30686594292337,0.03259082118531846,108.59372752882894,65.22908914574502
2018-03-19,0.9,0.95,950,6.9166669845581055,127.33338004906555,0.03268111440281285,104.92223370976792,48.099263183185506
2018-04-02,0.95,0.1,1,5.46416711807251,99.19012649425792,0.053684938865120754,99.5342036855816,36.51356173940881
2018-04-03,0.1,1.0,2,5.647500038146973,102.38439939470008,0.05377413205467565,100.77681654969707,39.71222370361051
2018-04-17,1.0,0.0,0,6.59041690826416,117.63577522414596,0.05910046260159747,103.97777949905156,56.133830745290155
2018-04-20,0.0,1.0,2,6.146249771118164,109.01298475195505,0.05797508361251211,102.4441332944873,48.897834432301266
2018-04-24,1.0,0.0,0,5.709167003631592,100.92406222599324,0.05038682698115009,100.95837575701208,42.52510535821915
2018-04-26,0.0,1.0,2,6.087082862854004,107.27767568559403,0.04694443377708884,102.14778393229803,49.560262973303516
2018-05-09,1.0,0.95,950,6.748332977294922,117.32154693148584,0.03465821943093578,103.01916903745992,60.96862199720482
2018-10-10,0.95,0.1,1,6.971250057220459,95.7774846899348,0.036819615710644016,100.7489883743831,24.288778748701205
2018-10-12,0.1,0.0,0,7.253749847412109,99.50891198011908,0.04228026060725483,99.87365604160014,36.45178642417939
2018-10-16,0.0,1.0,2,7.581250190734863,103.79589711664698,0.04661090720171035,101.4473778588806,44.99787727515162
2018-10-18,1.0,0.0,0,7.078750133514404,96.76019519310192,0.048021657756532395,99.96835095767554,38.763488882264205
2019-02-20,0.0,1.0,2,6.286250114440918,90.20671105813584,0.02877788772154395,101.4684161251751,64.93927087464257
2019-02-21,1.0,0.0,0,6.215000152587891,89.19607141077799,0.02908633056377657,101.08660764837217,62.59202023918829
2019-02-22,0.0,1.0,2,6.349999904632568,91.14671576595524,0.02916913139844076,101.69070347281213,65.31381017324352
2019-03-15,1.0,0.1,1,6.914999961853027,99.60702671805107,0.02002180423172664,102.2765997405429,70.19156875236924
2019-03-19,0.1,1.0,2,7.047500133514404,101.51288198204416,0.0200094750602886,102.63337628089462,71.65868236659392
2019-03-25,1.0,0.1,1,6.925000190734863,99.86426634482986,0.026966612346918176,101.3688310945297,59.87784605921331
2019-03-26,0.1,1.0,2,7.019999980926514,101.27093522146384,0.027049512691732114,102.11748680410446,61.82536626238261
2019-03-27,1.0,0.1,1,6.882500171661377,99.33285198282464,0.02754536433938821,101.58081182408827,57.64991576215838
2019-03-29,0.1,1.0,2,7.082499980926514,102.31268870573722,0.027529132549897924,102.5981547957445,62.11564485021893
2019-04-12,1.0,0.95,950,7.808750152587891,112.83526098309024,0.022863657598345105,105.15224766250928,71.2248573957835
2019-05-23,0.95,0.1,1,6.767499923706055,97.90004800697436,0.03719016919098167,101.71111245993754,37.90214539169306
2019-06-07,0.1,1.0,2,7.021249771118164,102.8449399655521,0.045362858450137857,103.7644675459555,52.2939294884328
2019-06-19,1.0,0.95,950,7.742499828338623,114.22122206730316,0.03596194033758816,105.69193147879396,62.33773632944679
2020-01-02,0.95,0.9,3,11.354999542236328,139.29192750177813,0.016055135275684407,109.50921967739274,78.135761356971
2020-01-16,0.9,0.8,4,12.303750038146973,146.8166612180908,0.019152823499271027,110.72788026267078,77.37155584902358
2020-01-23,0.8,0.05,5,12.682499885559082,149.579941203982,0.019074283192295767,110.67089043862592,80.24382962218826
2020-01-27,0.05,0.9,3,11.59000015258789,136.0112150790989,0.025182054375584843,107.79061265166288,53.3299214343665
