scenario,threshold_days,eligible_max_weight,sleeve_cost_oneway_bps,cagr,mdd,parking_days,ending_equity_multiple
baseline_cash_orig,999999,0.999999,0.0,0.5028859827082077,-0.37472771850216513,0,379.1116688488858
full_cash_only_sgov_orig,0,0.0,1.0,0.5070012876332173,-0.3756024903406542,1143,394.48756107760374
sweep_immediate_orig,0,0.999999,0.0,0.5078780467031474,-0.37472771850216513,3306,397.88577472571876
overlay_only_cash,999999,0.999999,0.0,0.5105883993239118,-0.384016154598519,0,408.4380139030408
overlay_plus_limited_sgov,5,0.0,1.0,0.514465011032319,-0.3846317790320455,1019,423.98453481901095
